id,name,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Angina",10,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
2,"Asthma",20,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
3,"Blood Loss",30,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
4,"Cardiac Surgery",40,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
5,"CVA",50,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
6,"FOH",60,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
7,"Hyperopia",70,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
8,"Hypotension",80,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
9,"Myopia",90,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
10,"Migraine",100,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
11,"Raynaud's",110,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
12,"SOB",120,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
13,"Ethnicity",55,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
14,"Other",9999,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
15,"Refractive Surgery",115,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
